,value
1,eid
2,sex_f31_0_0
3,year_of_birth_f34_0_0
4,blood_pressure_device_id_f36_0_0
5,blood_pressure_device_id_f36_1_0
6,blood_pressure_device_id_f36_2_0
7,blood_pressure_manual_sphygmomanometer_device_id_f37_0_0
8,blood_pressure_manual_sphygmomanometer_device_id_f37_1_0
9,blood_pressure_manual_sphygmomanometer_device_id_f37_2_0
10,month_of_birth_f52_0_0
11,date_of_attending_assessment_centre_f53_0_0
12,date_of_attending_assessment_centre_f53_1_0
13,date_of_attending_assessment_centre_f53_2_0
14,uk_biobank_assessment_centre_f54_0_0
15,uk_biobank_assessment_centre_f54_1_0
16,uk_biobank_assessment_centre_f54_2_0
17,systolic_blood_pressure_manual_reading_f93_0_0
18,systolic_blood_pressure_manual_reading_f93_0_1
19,systolic_blood_pressure_manual_reading_f93_1_0
20,systolic_blood_pressure_manual_reading_f93_1_1
21,systolic_blood_pressure_manual_reading_f93_2_0
22,systolic_blood_pressure_manual_reading_f93_2_1
23,diastolic_blood_pressure_manual_reading_f94_0_0
24,diastolic_blood_pressure_manual_reading_f94_0_1
25,diastolic_blood_pressure_manual_reading_f94_1_0
26,diastolic_blood_pressure_manual_reading_f94_1_1
27,diastolic_blood_pressure_manual_reading_f94_2_0
28,diastolic_blood_pressure_manual_reading_f94_2_1
29,pulse_rate_during_bloodpressure_measurement_f95_0_0
30,pulse_rate_during_bloodpressure_measurement_f95_0_1
31,pulse_rate_during_bloodpressure_measurement_f95_1_0
32,pulse_rate_during_bloodpressure_measurement_f95_1_1
33,pulse_rate_during_bloodpressure_measurement_f95_2_0
34,pulse_rate_during_bloodpressure_measurement_f95_2_1
35,time_since_interview_start_at_which_blood_pressure_screens_shown_f96_0_0
36,time_since_interview_start_at_which_blood_pressure_screens_shown_f96_0_1
37,time_since_interview_start_at_which_blood_pressure_screens_shown_f96_1_0
38,time_since_interview_start_at_which_blood_pressure_screens_shown_f96_1_1
39,time_since_interview_start_at_which_blood_pressure_screens_shown_f96_2_0
40,time_since_interview_start_at_which_blood_pressure_screens_shown_f96_2_1
41,pulse_rate_automated_reading_f102_0_0
42,pulse_rate_automated_reading_f102_0_1
43,pulse_rate_automated_reading_f102_1_0
44,pulse_rate_automated_reading_f102_1_1
45,pulse_rate_automated_reading_f102_2_0
46,pulse_rate_automated_reading_f102_2_1
47,townsend_deprivation_index_at_recruitment_f189_0_0
48,date_lost_to_followup_f191_0_0
49,number_of_daysweek_walked_10_minutes_f864_0_0
50,number_of_daysweek_walked_10_minutes_f864_1_0
51,number_of_daysweek_walked_10_minutes_f864_2_0
52,duration_of_walks_f874_0_0
53,duration_of_walks_f874_1_0
54,duration_of_walks_f874_2_0
55,number_of_daysweek_of_moderate_physical_activity_10_minutes_f884_0_0
56,number_of_daysweek_of_moderate_physical_activity_10_minutes_f884_1_0
57,number_of_daysweek_of_moderate_physical_activity_10_minutes_f884_2_0
58,duration_of_moderate_activity_f894_0_0
59,duration_of_moderate_activity_f894_1_0
60,duration_of_moderate_activity_f894_2_0
61,number_of_daysweek_of_vigorous_physical_activity_10_minutes_f904_0_0
62,number_of_daysweek_of_vigorous_physical_activity_10_minutes_f904_1_0
63,number_of_daysweek_of_vigorous_physical_activity_10_minutes_f904_2_0
64,duration_of_vigorous_activity_f914_0_0
65,duration_of_vigorous_activity_f914_1_0
66,duration_of_vigorous_activity_f914_2_0
67,usual_walking_pace_f924_0_0
68,usual_walking_pace_f924_1_0
69,usual_walking_pace_f924_2_0
70,frequency_of_stair_climbing_in_last_4_weeks_f943_0_0
71,frequency_of_stair_climbing_in_last_4_weeks_f943_1_0
72,frequency_of_stair_climbing_in_last_4_weeks_f943_2_0
73,frequency_of_walking_for_pleasure_in_last_4_weeks_f971_0_0
74,frequency_of_walking_for_pleasure_in_last_4_weeks_f971_1_0
75,frequency_of_walking_for_pleasure_in_last_4_weeks_f971_2_0
76,duration_walking_for_pleasure_f981_0_0
77,duration_walking_for_pleasure_f981_1_0
78,duration_walking_for_pleasure_f981_2_0
79,frequency_of_strenuous_sports_in_last_4_weeks_f991_0_0
80,frequency_of_strenuous_sports_in_last_4_weeks_f991_1_0
81,frequency_of_strenuous_sports_in_last_4_weeks_f991_2_0
82,duration_of_strenuous_sports_f1001_0_0
83,duration_of_strenuous_sports_f1001_1_0
84,duration_of_strenuous_sports_f1001_2_0
85,frequency_of_light_diy_in_last_4_weeks_f1011_0_0
86,frequency_of_light_diy_in_last_4_weeks_f1011_1_0
87,frequency_of_light_diy_in_last_4_weeks_f1011_2_0
88,duration_of_light_diy_f1021_0_0
89,duration_of_light_diy_f1021_1_0
90,duration_of_light_diy_f1021_2_0
91,time_spent_watching_television_tv_f1070_0_0
92,time_spent_watching_television_tv_f1070_1_0
93,time_spent_watching_television_tv_f1070_2_0
94,time_spent_using_computer_f1080_0_0
95,time_spent_using_computer_f1080_1_0
96,time_spent_using_computer_f1080_2_0
97,time_spent_driving_f1090_0_0
98,time_spent_driving_f1090_1_0
99,time_spent_driving_f1090_2_0
100,drive_faster_than_motorway_speed_limit_f1100_0_0
101,drive_faster_than_motorway_speed_limit_f1100_1_0
102,drive_faster_than_motorway_speed_limit_f1100_2_0
103,cooked_vegetable_intake_f1289_0_0
104,cooked_vegetable_intake_f1289_1_0
105,cooked_vegetable_intake_f1289_2_0
106,salad_raw_vegetable_intake_f1299_0_0
107,salad_raw_vegetable_intake_f1299_1_0
108,salad_raw_vegetable_intake_f1299_2_0
109,fresh_fruit_intake_f1309_0_0
110,fresh_fruit_intake_f1309_1_0
111,fresh_fruit_intake_f1309_2_0
112,dried_fruit_intake_f1319_0_0
113,dried_fruit_intake_f1319_1_0
114,dried_fruit_intake_f1319_2_0
115,oily_fish_intake_f1329_0_0
116,oily_fish_intake_f1329_1_0
117,oily_fish_intake_f1329_2_0
118,nonoily_fish_intake_f1339_0_0
119,nonoily_fish_intake_f1339_1_0
120,nonoily_fish_intake_f1339_2_0
121,processed_meat_intake_f1349_0_0
122,processed_meat_intake_f1349_1_0
123,processed_meat_intake_f1349_2_0
124,poultry_intake_f1359_0_0
125,poultry_intake_f1359_1_0
126,poultry_intake_f1359_2_0
127,beef_intake_f1369_0_0
128,beef_intake_f1369_1_0
129,beef_intake_f1369_2_0
130,lambmutton_intake_f1379_0_0
131,lambmutton_intake_f1379_1_0
132,lambmutton_intake_f1379_2_0
133,pork_intake_f1389_0_0
134,pork_intake_f1389_1_0
135,pork_intake_f1389_2_0
136,cheese_intake_f1408_0_0
137,cheese_intake_f1408_1_0
138,cheese_intake_f1408_2_0
139,milk_type_used_f1418_0_0
140,milk_type_used_f1418_1_0
141,milk_type_used_f1418_2_0
142,spread_type_f1428_0_0
143,spread_type_f1428_1_0
144,spread_type_f1428_2_0
145,bread_intake_f1438_0_0
146,bread_intake_f1438_1_0
147,bread_intake_f1438_2_0
148,bread_type_f1448_0_0
149,bread_type_f1448_1_0
150,bread_type_f1448_2_0
151,cereal_intake_f1458_0_0
152,cereal_intake_f1458_1_0
153,cereal_intake_f1458_2_0
154,cereal_type_f1468_0_0
155,cereal_type_f1468_1_0
156,cereal_type_f1468_2_0
157,salt_added_to_food_f1478_0_0
158,salt_added_to_food_f1478_1_0
159,salt_added_to_food_f1478_2_0
160,tea_intake_f1488_0_0
161,tea_intake_f1488_1_0
162,tea_intake_f1488_2_0
163,coffee_intake_f1498_0_0
164,coffee_intake_f1498_1_0
165,coffee_intake_f1498_2_0
166,coffee_type_f1508_0_0
167,coffee_type_f1508_1_0
168,coffee_type_f1508_2_0
169,hot_drink_temperature_f1518_0_0
170,hot_drink_temperature_f1518_1_0
171,hot_drink_temperature_f1518_2_0
172,water_intake_f1528_0_0
173,water_intake_f1528_1_0
174,water_intake_f1528_2_0
175,major_dietary_changes_in_the_last_5_years_f1538_0_0
176,major_dietary_changes_in_the_last_5_years_f1538_1_0
177,major_dietary_changes_in_the_last_5_years_f1538_2_0
178,variation_in_diet_f1548_0_0
179,variation_in_diet_f1548_1_0
180,variation_in_diet_f1548_2_0
181,alcohol_intake_frequency_f1558_0_0
182,alcohol_intake_frequency_f1558_1_0
183,alcohol_intake_frequency_f1558_2_0
184,average_weekly_red_wine_intake_f1568_0_0
185,average_weekly_red_wine_intake_f1568_1_0
186,average_weekly_red_wine_intake_f1568_2_0
187,average_weekly_champagne_plus_white_wine_intake_f1578_0_0
188,average_weekly_champagne_plus_white_wine_intake_f1578_1_0
189,average_weekly_champagne_plus_white_wine_intake_f1578_2_0
190,average_weekly_beer_plus_cider_intake_f1588_0_0
191,average_weekly_beer_plus_cider_intake_f1588_1_0
192,average_weekly_beer_plus_cider_intake_f1588_2_0
193,average_weekly_spirits_intake_f1598_0_0
194,average_weekly_spirits_intake_f1598_1_0
195,average_weekly_spirits_intake_f1598_2_0
196,average_weekly_fortified_wine_intake_f1608_0_0
197,average_weekly_fortified_wine_intake_f1608_1_0
198,average_weekly_fortified_wine_intake_f1608_2_0
199,alcohol_usually_taken_with_meals_f1618_0_0
200,alcohol_usually_taken_with_meals_f1618_1_0
201,alcohol_usually_taken_with_meals_f1618_2_0
202,alcohol_intake_versus_10_years_previously_f1628_0_0
203,alcohol_intake_versus_10_years_previously_f1628_1_0
204,alcohol_intake_versus_10_years_previously_f1628_2_0
205,mood_swings_f1920_0_0
206,mood_swings_f1920_1_0
207,mood_swings_f1920_2_0
208,miserableness_f1930_0_0
209,miserableness_f1930_1_0
210,miserableness_f1930_2_0
211,irritability_f1940_0_0
212,irritability_f1940_1_0
213,irritability_f1940_2_0
214,sensitivity_hurt_feelings_f1950_0_0
215,sensitivity_hurt_feelings_f1950_1_0
216,sensitivity_hurt_feelings_f1950_2_0
217,fedup_feelings_f1960_0_0
218,fedup_feelings_f1960_1_0
219,fedup_feelings_f1960_2_0
220,nervous_feelings_f1970_0_0
221,nervous_feelings_f1970_1_0
222,nervous_feelings_f1970_2_0
223,worrier_anxious_feelings_f1980_0_0
224,worrier_anxious_feelings_f1980_1_0
225,worrier_anxious_feelings_f1980_2_0
226,tense_highly_strung_f1990_0_0
227,tense_highly_strung_f1990_1_0
228,tense_highly_strung_f1990_2_0
229,worry_too_long_after_embarrassment_f2000_0_0
230,worry_too_long_after_embarrassment_f2000_1_0
231,worry_too_long_after_embarrassment_f2000_2_0
232,suffer_from_nerves_f2010_0_0
233,suffer_from_nerves_f2010_1_0
234,suffer_from_nerves_f2010_2_0
235,loneliness_isolation_f2020_0_0
236,loneliness_isolation_f2020_1_0
237,loneliness_isolation_f2020_2_0
238,guilty_feelings_f2030_0_0
239,guilty_feelings_f2030_1_0
240,guilty_feelings_f2030_2_0
241,risk_taking_f2040_0_0
242,risk_taking_f2040_1_0
243,risk_taking_f2040_2_0
244,frequency_of_depressed_mood_in_last_2_weeks_f2050_0_0
245,frequency_of_depressed_mood_in_last_2_weeks_f2050_1_0
246,frequency_of_depressed_mood_in_last_2_weeks_f2050_2_0
247,frequency_of_unenthusiasm_disinterest_in_last_2_weeks_f2060_0_0
248,frequency_of_unenthusiasm_disinterest_in_last_2_weeks_f2060_1_0
249,frequency_of_unenthusiasm_disinterest_in_last_2_weeks_f2060_2_0
250,frequency_of_tenseness_restlessness_in_last_2_weeks_f2070_0_0
251,frequency_of_tenseness_restlessness_in_last_2_weeks_f2070_1_0
252,frequency_of_tenseness_restlessness_in_last_2_weeks_f2070_2_0
253,frequency_of_tiredness_lethargy_in_last_2_weeks_f2080_0_0
254,frequency_of_tiredness_lethargy_in_last_2_weeks_f2080_1_0
255,frequency_of_tiredness_lethargy_in_last_2_weeks_f2080_2_0
256,seen_doctor_gp_for_nerves_anxiety_tension_or_depression_f2090_0_0
257,seen_doctor_gp_for_nerves_anxiety_tension_or_depression_f2090_1_0
258,seen_doctor_gp_for_nerves_anxiety_tension_or_depression_f2090_2_0
259,seen_a_psychiatrist_for_nerves_anxiety_tension_or_depression_f2100_0_0
260,seen_a_psychiatrist_for_nerves_anxiety_tension_or_depression_f2100_1_0
261,seen_a_psychiatrist_for_nerves_anxiety_tension_or_depression_f2100_2_0
262,overall_health_rating_f2178_0_0
263,overall_health_rating_f2178_1_0
264,overall_health_rating_f2178_2_0
265,longstanding_illness_disability_or_infirmity_f2188_0_0
266,longstanding_illness_disability_or_infirmity_f2188_1_0
267,longstanding_illness_disability_or_infirmity_f2188_2_0
268,falls_in_the_last_year_f2296_0_0
269,falls_in_the_last_year_f2296_1_0
270,falls_in_the_last_year_f2296_2_0
271,weight_change_compared_with_1_year_ago_f2306_0_0
272,weight_change_compared_with_1_year_ago_f2306_1_0
273,weight_change_compared_with_1_year_ago_f2306_2_0
274,diabetes_diagnosed_by_doctor_f2443_0_0
275,diabetes_diagnosed_by_doctor_f2443_1_0
276,diabetes_diagnosed_by_doctor_f2443_2_0
277,cancer_diagnosed_by_doctor_f2453_0_0
278,cancer_diagnosed_by_doctor_f2453_1_0
279,cancer_diagnosed_by_doctor_f2453_2_0
280,fracturedbroken_bones_in_last_5_years_f2463_0_0
281,fracturedbroken_bones_in_last_5_years_f2463_1_0
282,fracturedbroken_bones_in_last_5_years_f2463_2_0
283,other_serious_medical_conditiondisability_diagnosed_by_doctor_f2473_0_0
284,other_serious_medical_conditiondisability_diagnosed_by_doctor_f2473_1_0
285,other_serious_medical_conditiondisability_diagnosed_by_doctor_f2473_2_0
286,frequency_of_heavy_diy_in_last_4_weeks_f2624_0_0
287,frequency_of_heavy_diy_in_last_4_weeks_f2624_1_0
288,frequency_of_heavy_diy_in_last_4_weeks_f2624_2_0
289,duration_of_heavy_diy_f2634_0_0
290,duration_of_heavy_diy_f2634_1_0
291,duration_of_heavy_diy_f2634_2_0
292,nonbutter_spread_type_details_f2654_0_0
293,nonbutter_spread_type_details_f2654_1_0
294,nonbutter_spread_type_details_f2654_2_0
295,reason_for_reducing_amount_of_alcohol_drunk_f2664_0_0
296,reason_for_reducing_amount_of_alcohol_drunk_f2664_1_0
297,reason_for_reducing_amount_of_alcohol_drunk_f2664_2_0
298,age_high_blood_pressure_diagnosed_f2966_0_0
299,age_high_blood_pressure_diagnosed_f2966_1_0
300,age_high_blood_pressure_diagnosed_f2966_2_0
301,age_diabetes_diagnosed_f2976_0_0
302,age_diabetes_diagnosed_f2976_1_0
303,age_diabetes_diagnosed_f2976_2_0
304,started_insulin_within_one_year_diagnosis_of_diabetes_f2986_0_0
305,started_insulin_within_one_year_diagnosis_of_diabetes_f2986_1_0
306,started_insulin_within_one_year_diagnosis_of_diabetes_f2986_2_0
307,fracture_resulting_from_simple_fall_f3005_0_0
308,fracture_resulting_from_simple_fall_f3005_1_0
309,fracture_resulting_from_simple_fall_f3005_2_0
310,age_angina_diagnosed_f3627_0_0
311,age_angina_diagnosed_f3627_1_0
312,age_angina_diagnosed_f3627_2_0
313,frequency_of_other_exercises_in_last_4_weeks_f3637_0_0
314,frequency_of_other_exercises_in_last_4_weeks_f3637_1_0
315,frequency_of_other_exercises_in_last_4_weeks_f3637_2_0
316,duration_of_other_exercises_f3647_0_0
317,duration_of_other_exercises_f3647_1_0
318,duration_of_other_exercises_f3647_2_0
319,year_immigrated_to_uk_united_kingdom_f3659_0_0
320,year_immigrated_to_uk_united_kingdom_f3659_1_0
321,year_immigrated_to_uk_united_kingdom_f3659_2_0
322,age_when_last_ate_meat_f3680_0_0
323,age_when_last_ate_meat_f3680_1_0
324,age_when_last_ate_meat_f3680_2_0
325,former_alcohol_drinker_f3731_0_0
326,former_alcohol_drinker_f3731_1_0
327,former_alcohol_drinker_f3731_2_0
328,age_hay_fever_rhinitis_or_eczema_diagnosed_f3761_0_0
329,age_hay_fever_rhinitis_or_eczema_diagnosed_f3761_1_0
330,age_hay_fever_rhinitis_or_eczema_diagnosed_f3761_2_0
331,age_asthma_diagnosed_f3786_0_0
332,age_asthma_diagnosed_f3786_1_0
333,age_asthma_diagnosed_f3786_2_0
334,reason_former_drinker_stopped_drinking_alcohol_f3859_0_0
335,reason_former_drinker_stopped_drinking_alcohol_f3859_1_0
336,reason_former_drinker_stopped_drinking_alcohol_f3859_2_0
337,age_heart_attack_diagnosed_f3894_0_0
338,age_heart_attack_diagnosed_f3894_1_0
339,age_heart_attack_diagnosed_f3894_2_0
340,age_emphysemachronic_bronchitis_diagnosed_f3992_0_0
341,age_emphysemachronic_bronchitis_diagnosed_f3992_1_0
342,age_emphysemachronic_bronchitis_diagnosed_f3992_2_0
343,age_deepvein_thrombosis_dvt_blood_clot_in_leg_diagnosed_f4012_0_0
344,age_deepvein_thrombosis_dvt_blood_clot_in_leg_diagnosed_f4012_1_0
345,age_deepvein_thrombosis_dvt_blood_clot_in_leg_diagnosed_f4012_2_0
346,age_pulmonary_embolism_blood_clot_in_lung_diagnosed_f4022_0_0
347,age_pulmonary_embolism_blood_clot_in_lung_diagnosed_f4022_1_0
348,age_pulmonary_embolism_blood_clot_in_lung_diagnosed_f4022_2_0
349,gestational_diabetes_only_f4041_0_0
350,gestational_diabetes_only_f4041_1_0
351,gestational_diabetes_only_f4041_2_0
352,age_stroke_diagnosed_f4056_0_0
353,age_stroke_diagnosed_f4056_1_0
354,age_stroke_diagnosed_f4056_2_0
355,diastolic_blood_pressure_automated_reading_f4079_0_0
356,diastolic_blood_pressure_automated_reading_f4079_0_1
357,diastolic_blood_pressure_automated_reading_f4079_1_0
358,diastolic_blood_pressure_automated_reading_f4079_1_1
359,diastolic_blood_pressure_automated_reading_f4079_2_0
360,diastolic_blood_pressure_automated_reading_f4079_2_1
361,systolic_blood_pressure_automated_reading_f4080_0_0
362,systolic_blood_pressure_automated_reading_f4080_0_1
363,systolic_blood_pressure_automated_reading_f4080_1_0
364,systolic_blood_pressure_automated_reading_f4080_1_1
365,systolic_blood_pressure_automated_reading_f4080_2_0
